Uid,ClusterId,Categories
183219009880065,1,"4100,1003,10676996,"
183219009880065,1,"4100,1003,10676997,"
183219009880065,1,"4100,1003,10676998,"
183219009880065,1,"4100,1003,10676999,"
183219009880065,1,"4100,1003,10677000,"
183219009880065,1,"4100,1003,10677001,"
183219009880065,1,"4100,1003,10677002,"
183219009880065,1,"4100,1003,10677003,"
183219009880065,1,"4100,1003,10677004,"
183219009880065,1,"4100,1003,10677005,"
183219009880065,1,"4100,1003,10677006,"
183219009880065,1,"4100,1003,10677007,"
183219009880065,1,"4100,1003,10677008,"
183219009880065,1,"4100,1003,10677009,"
183219009880065,1,"4100,1003,10677010,"
183219009880065,1,"4100,1003,10677011,"
183219009880065,1,"4100,1003,10677012,"
183219009880065,1,"4100,1003,10677013,"
183219009880065,1,"4100,1003,10677014,"
183219009880065,1,"4100,1003,10677015,"
183219009880065,1,"4100,1003,10677016,"
183219009880065,1,"4100,1003,10677017,"
183219009880065,1,"4100,1003,10677018,"
183219009880065,1,"4100,1003,10677019,"
183219009880065,1,"4100,1003,10677020,"
183219009880065,1,"4100,1003,10677021,"
183219009880065,1,"4100,1003,10677023,"
183219009880065,1,"4100,1003,10677024,"
183219009880065,1,"4100,1003,10677025,"
183219009880065,1,"4100,1003,10677026,"
183219009880065,1,"4100,1003,10677027,"
183219009880065,1,"4100,1003,10677028,"
183219009880065,1,"4100,1003,10677029,"
183219009880065,1,"4100,1003,10677030,"
183219009880065,1,"4100,1003,10677031,"
183219009880065,1,"4100,1003,10677032,"
183219009880065,1,"4100,1003,10677033,"
183219009880065,1,"4100,1003,10677034,"
183219009880065,1,"4100,1003,10677035,"
183219009880065,1,"4100,1003,10677036,"
183219009880065,1,"4100,1003,10677037,"
183219009880065,1,"4100,1003,10677038,"
183219009880065,1,"4100,1003,10677039,"
183219009880065,1,"4100,1003,10677040,"
183219009880065,1,"4100,1003,10677041,"
183219009880065,1,"4100,1003,10677042,"
183219009880065,1,"4100,1003,10677043,"
